layer,bbox,time,cloudCover
SENTINEL2,"5.0,41.0,10.0,44.3333333333","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[0,33]"
SENTINEL2,"5.0,41.0,10.0,44.3333333333","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[33,66]"
SENTINEL2,"5.0,41.0,10.0,44.3333333333","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[66,99]"
SENTINEL2,"5.0,41.0,10.0,44.3333333333","[2017-10-18T00:00:00,2017-10-19T00:00:00]",
SENTINEL2,"5.0,41.0,10.0,44.3333333333","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[0,33]"
SENTINEL2,"5.0,41.0,10.0,44.3333333333","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[33,66]"
SENTINEL2,"5.0,41.0,10.0,44.3333333333","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[66,99]"
SENTINEL2,"5.0,41.0,10.0,44.3333333333","[2017-10-19T00:00:00,2017-10-20T00:00:00]",
SENTINEL2,"5.0,41.0,10.0,44.3333333333","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[0,33]"
SENTINEL2,"5.0,41.0,10.0,44.3333333333","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[33,66]"
SENTINEL2,"5.0,41.0,10.0,44.3333333333","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[66,99]"
SENTINEL2,"5.0,41.0,10.0,44.3333333333","[2017-10-20T00:00:00,2017-10-21T00:00:00]",
SENTINEL2,"5.0,44.3333333333,10.0,47.6666666667","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[0,33]"
SENTINEL2,"5.0,44.3333333333,10.0,47.6666666667","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[33,66]"
SENTINEL2,"5.0,44.3333333333,10.0,47.6666666667","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[66,99]"
SENTINEL2,"5.0,44.3333333333,10.0,47.6666666667","[2017-10-18T00:00:00,2017-10-19T00:00:00]",
SENTINEL2,"5.0,44.3333333333,10.0,47.6666666667","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[0,33]"
SENTINEL2,"5.0,44.3333333333,10.0,47.6666666667","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[33,66]"
SENTINEL2,"5.0,44.3333333333,10.0,47.6666666667","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[66,99]"
SENTINEL2,"5.0,44.3333333333,10.0,47.6666666667","[2017-10-19T00:00:00,2017-10-20T00:00:00]",
SENTINEL2,"5.0,44.3333333333,10.0,47.6666666667","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[0,33]"
SENTINEL2,"5.0,44.3333333333,10.0,47.6666666667","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[33,66]"
SENTINEL2,"5.0,44.3333333333,10.0,47.6666666667","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[66,99]"
SENTINEL2,"5.0,44.3333333333,10.0,47.6666666667","[2017-10-20T00:00:00,2017-10-21T00:00:00]",
SENTINEL2,"5.0,47.6666666667,10.0,51.0","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[0,33]"
SENTINEL2,"5.0,47.6666666667,10.0,51.0","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[33,66]"
SENTINEL2,"5.0,47.6666666667,10.0,51.0","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[66,99]"
SENTINEL2,"5.0,47.6666666667,10.0,51.0","[2017-10-18T00:00:00,2017-10-19T00:00:00]",
SENTINEL2,"5.0,47.6666666667,10.0,51.0","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[0,33]"
SENTINEL2,"5.0,47.6666666667,10.0,51.0","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[33,66]"
SENTINEL2,"5.0,47.6666666667,10.0,51.0","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[66,99]"
SENTINEL2,"5.0,47.6666666667,10.0,51.0","[2017-10-19T00:00:00,2017-10-20T00:00:00]",
SENTINEL2,"5.0,47.6666666667,10.0,51.0","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[0,33]"
SENTINEL2,"5.0,47.6666666667,10.0,51.0","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[33,66]"
SENTINEL2,"5.0,47.6666666667,10.0,51.0","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[66,99]"
SENTINEL2,"5.0,47.6666666667,10.0,51.0","[2017-10-20T00:00:00,2017-10-21T00:00:00]",
SENTINEL2,"10.0,41.0,15.0,44.3333333333","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[0,33]"
SENTINEL2,"10.0,41.0,15.0,44.3333333333","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[33,66]"
SENTINEL2,"10.0,41.0,15.0,44.3333333333","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[66,99]"
SENTINEL2,"10.0,41.0,15.0,44.3333333333","[2017-10-18T00:00:00,2017-10-19T00:00:00]",
SENTINEL2,"10.0,41.0,15.0,44.3333333333","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[0,33]"
SENTINEL2,"10.0,41.0,15.0,44.3333333333","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[33,66]"
SENTINEL2,"10.0,41.0,15.0,44.3333333333","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[66,99]"
SENTINEL2,"10.0,41.0,15.0,44.3333333333","[2017-10-19T00:00:00,2017-10-20T00:00:00]",
SENTINEL2,"10.0,41.0,15.0,44.3333333333","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[0,33]"
SENTINEL2,"10.0,41.0,15.0,44.3333333333","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[33,66]"
SENTINEL2,"10.0,41.0,15.0,44.3333333333","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[66,99]"
SENTINEL2,"10.0,41.0,15.0,44.3333333333","[2017-10-20T00:00:00,2017-10-21T00:00:00]",
SENTINEL2,"10.0,44.3333333333,15.0,47.6666666667","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[0,33]"
SENTINEL2,"10.0,44.3333333333,15.0,47.6666666667","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[33,66]"
SENTINEL2,"10.0,44.3333333333,15.0,47.6666666667","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[66,99]"
SENTINEL2,"10.0,44.3333333333,15.0,47.6666666667","[2017-10-18T00:00:00,2017-10-19T00:00:00]",
SENTINEL2,"10.0,44.3333333333,15.0,47.6666666667","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[0,33]"
SENTINEL2,"10.0,44.3333333333,15.0,47.6666666667","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[33,66]"
SENTINEL2,"10.0,44.3333333333,15.0,47.6666666667","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[66,99]"
SENTINEL2,"10.0,44.3333333333,15.0,47.6666666667","[2017-10-19T00:00:00,2017-10-20T00:00:00]",
SENTINEL2,"10.0,44.3333333333,15.0,47.6666666667","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[0,33]"
SENTINEL2,"10.0,44.3333333333,15.0,47.6666666667","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[33,66]"
SENTINEL2,"10.0,44.3333333333,15.0,47.6666666667","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[66,99]"
SENTINEL2,"10.0,44.3333333333,15.0,47.6666666667","[2017-10-20T00:00:00,2017-10-21T00:00:00]",
SENTINEL2,"10.0,47.6666666667,15.0,51.0","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[0,33]"
SENTINEL2,"10.0,47.6666666667,15.0,51.0","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[33,66]"
SENTINEL2,"10.0,47.6666666667,15.0,51.0","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[66,99]"
SENTINEL2,"10.0,47.6666666667,15.0,51.0","[2017-10-18T00:00:00,2017-10-19T00:00:00]",
SENTINEL2,"10.0,47.6666666667,15.0,51.0","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[0,33]"
SENTINEL2,"10.0,47.6666666667,15.0,51.0","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[33,66]"
SENTINEL2,"10.0,47.6666666667,15.0,51.0","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[66,99]"
SENTINEL2,"10.0,47.6666666667,15.0,51.0","[2017-10-19T00:00:00,2017-10-20T00:00:00]",
SENTINEL2,"10.0,47.6666666667,15.0,51.0","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[0,33]"
SENTINEL2,"10.0,47.6666666667,15.0,51.0","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[33,66]"
SENTINEL2,"10.0,47.6666666667,15.0,51.0","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[66,99]"
SENTINEL2,"10.0,47.6666666667,15.0,51.0","[2017-10-20T00:00:00,2017-10-21T00:00:00]",
SENTINEL2,"15.0,41.0,20.0,44.3333333333","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[0,33]"
SENTINEL2,"15.0,41.0,20.0,44.3333333333","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[33,66]"
SENTINEL2,"15.0,41.0,20.0,44.3333333333","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[66,99]"
SENTINEL2,"15.0,41.0,20.0,44.3333333333","[2017-10-18T00:00:00,2017-10-19T00:00:00]",
SENTINEL2,"15.0,41.0,20.0,44.3333333333","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[0,33]"
SENTINEL2,"15.0,41.0,20.0,44.3333333333","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[33,66]"
SENTINEL2,"15.0,41.0,20.0,44.3333333333","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[66,99]"
SENTINEL2,"15.0,41.0,20.0,44.3333333333","[2017-10-19T00:00:00,2017-10-20T00:00:00]",
SENTINEL2,"15.0,41.0,20.0,44.3333333333","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[0,33]"
SENTINEL2,"15.0,41.0,20.0,44.3333333333","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[33,66]"
SENTINEL2,"15.0,41.0,20.0,44.3333333333","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[66,99]"
SENTINEL2,"15.0,41.0,20.0,44.3333333333","[2017-10-20T00:00:00,2017-10-21T00:00:00]",
SENTINEL2,"15.0,44.3333333333,20.0,47.6666666667","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[0,33]"
SENTINEL2,"15.0,44.3333333333,20.0,47.6666666667","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[33,66]"
SENTINEL2,"15.0,44.3333333333,20.0,47.6666666667","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[66,99]"
SENTINEL2,"15.0,44.3333333333,20.0,47.6666666667","[2017-10-18T00:00:00,2017-10-19T00:00:00]",
SENTINEL2,"15.0,44.3333333333,20.0,47.6666666667","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[0,33]"
SENTINEL2,"15.0,44.3333333333,20.0,47.6666666667","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[33,66]"
SENTINEL2,"15.0,44.3333333333,20.0,47.6666666667","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[66,99]"
SENTINEL2,"15.0,44.3333333333,20.0,47.6666666667","[2017-10-19T00:00:00,2017-10-20T00:00:00]",
SENTINEL2,"15.0,44.3333333333,20.0,47.6666666667","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[0,33]"
SENTINEL2,"15.0,44.3333333333,20.0,47.6666666667","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[33,66]"
SENTINEL2,"15.0,44.3333333333,20.0,47.6666666667","[2017-10-20T00:00:00,2017-10-21T00:00:00]","[66,99]"
SENTINEL2,"15.0,44.3333333333,20.0,47.6666666667","[2017-10-20T00:00:00,2017-10-21T00:00:00]",
SENTINEL2,"15.0,47.6666666667,20.0,51.0","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[0,33]"
SENTINEL2,"15.0,47.6666666667,20.0,51.0","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[33,66]"
SENTINEL2,"15.0,47.6666666667,20.0,51.0","[2017-10-18T00:00:00,2017-10-19T00:00:00]","[66,99]"
SENTINEL2,"15.0,47.6666666667,20.0,51.0","[2017-10-18T00:00:00,2017-10-19T00:00:00]",
SENTINEL2,"15.0,47.6666666667,20.0,51.0","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[0,33]"
SENTINEL2,"15.0,47.6666666667,20.0,51.0","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[33,66]"
SENTINEL2,"15.0,47.6666666667,20.0,51.0","[2017-10-19T00:00:00,2017-10-20T00:00:00]","[66,99]"
